"trt"	"var"	"blk"	"variables"	"values"
"C"	"S"	2	"sev"	0.65
"C"	"S"	2	"inc"	10
"C"	"S"	2	"yld"	112.1
"C"	"S"	2	"don"	0.06
"C"	"S"	2	"fdk"	7
"C"	"S"	3	"sev"	0
"C"	"S"	3	"inc"	0
"C"	"S"	3	"yld"	118.2
"C"	"S"	3	"don"	0
"C"	"S"	3	"fdk"	1
"C"	"S"	3	"sev"	0.5
"C"	"S"	3	"inc"	5
"C"	"S"	3	"yld"	117.3
"C"	"S"	3	"don"	0.09
"C"	"S"	3	"fdk"	3
"C"	"S"	4	"sev"	2
"C"	"S"	4	"inc"	5
"C"	"S"	4	"yld"	105.1
"C"	"S"	4	"don"	0.1
"C"	"S"	4	"fdk"	3
"C"	"S"	4	"sev"	0.45
"C"	"S"	4	"inc"	15
"C"	"S"	4	"yld"	123.2
"C"	"S"	4	"don"	0
"C"	"S"	4	"fdk"	4
"D"	"R"	1	"sev"	0.75
"D"	"R"	1	"inc"	15
"D"	"R"	1	"yld"	105.4
"D"	"R"	1	"don"	0
"D"	"R"	1	"fdk"	4
"D"	"R"	1	"sev"	0.3
"D"	"R"	1	"inc"	5
"D"	"R"	1	"yld"	99.7
"D"	"R"	1	"don"	0.06
"D"	"R"	1	"fdk"	3
"D"	"R"	2	"sev"	1.35
"D"	"R"	2	"inc"	40
"D"	"R"	2	"yld"	94.6
"D"	"R"	2	"don"	0.06
"D"	"R"	2	"fdk"	17
"D"	"R"	2	"sev"	0.45
"D"	"R"	2	"inc"	10
"D"	"R"	2	"yld"	102.3
"D"	"R"	2	"don"	0.08
"D"	"R"	2	"fdk"	11
"D"	"R"	3	"sev"	0.45
"D"	"R"	3	"inc"	10
"D"	"R"	3	"yld"	104.1
"D"	"R"	3	"don"	0
"D"	"R"	3	"fdk"	18
"D"	"R"	3	"sev"	0
"D"	"R"	3	"inc"	0
"D"	"R"	3	"yld"	103
"D"	"R"	3	"don"	0.07
"D"	"R"	3	"fdk"	18
"D"	"R"	4	"sev"	0.15
"D"	"R"	4	"inc"	5
"D"	"R"	4	"yld"	106.1
"D"	"R"	4	"don"	0
"D"	"R"	4	"fdk"	11
"D"	"R"	4	"sev"	0
"D"	"R"	4	"inc"	0
"D"	"R"	4	"yld"	106.6
"D"	"R"	4	"don"	0.07
"D"	"R"	4	"fdk"	18
"D"	"S"	1	"sev"	0
"D"	"S"	1	"inc"	0
"D"	"S"	1	"yld"	116.6
"D"	"S"	1	"don"	0.05
"D"	"S"	1	"fdk"	1
"D"	"S"	1	"sev"	0.15
"D"	"S"	1	"inc"	5
"D"	"S"	1	"yld"	110.2
"D"	"S"	1	"don"	0.06
"D"	"S"	1	"fdk"	3
"D"	"S"	2	"sev"	0
"D"	"S"	2	"inc"	0
"D"	"S"	2	"yld"	113.2
"D"	"S"	2	"don"	0.21
"D"	"S"	2	"fdk"	4
"D"	"S"	2	"sev"	1.1
"D"	"S"	2	"inc"	20
"D"	"S"	2	"yld"	111.8
"D"	"S"	2	"don"	0.07
"D"	"S"	2	"fdk"	3
"D"	"S"	3	"sev"	1.25
"D"	"S"	3	"inc"	10
"D"	"S"	3	"yld"	117
"D"	"S"	3	"don"	0.15
"D"	"S"	3	"fdk"	8
"D"	"S"	3	"sev"	0.75
"D"	"S"	3	"inc"	5
"D"	"S"	3	"yld"	116.9
"D"	"S"	3	"don"	0.06
"D"	"S"	3	"fdk"	3
"D"	"S"	4	"sev"	0
"D"	"S"	4	"inc"	0
"D"	"S"	4	"yld"	117.8
"D"	"S"	4	"don"	0
"D"	"S"	4	"fdk"	6
"D"	"S"	4	"sev"	0.3
"D"	"S"	4	"inc"	5
"D"	"S"	4	"yld"	116
"D"	"S"	4	"don"	0.09
"D"	"S"	4	"fdk"	10
